customer_id,signup_date,city_tier,age_group,acquisition_channel,loyalty_tier,preferred_category,skin_type,marketing_consent,total_orders,total_spend,avg_order_value,avg_discount_pct,return_rate,avg_rating,ticket_count,avg_resolution_hours,avg_sentiment,reopen_rate,snapshot_date_x,sessions_30d,product_views_30d,cart_adds_30d,wishlist_adds_30d,abandoned_carts_30d,email_opens_30d,campaign_clicks_30d,last_visit_days_ago,snapshot_date_y,last_campaign_received,last_campaign_cost,manual_priority_bucket,snapshot_date,churn_next_60d,split
CUST00001,2024-04-24,Tier 1,18-24,Instagram,Silver,Makeup,Normal,Yes,6,2955.57,492.595,0.36333333333333334,0.16666666666666666,3.3333333333333335,2.0,4.35,0.14,0.0,2025-09-30,1,4,0,0,0,2,0,20,2025-09-30,welcome_offer,25,high,2025-09-30,1,train
CUST00002,2025-06-01,Tier 2,25-34,Marketplace,Silver,Hair Care,Combination,Yes,1,581.0,581.0,0.23,0.0,4.0,1.0,1.0,0.0,0.0,2025-09-30,8,31,4,2,3,0,0,0,2025-09-30,free_shipping,12,medium,2025-09-30,0,train
CUST00003,2025-03-08,Tier 1,25-34,Influencer,,Skin Care,Oily,Yes,1,649.98,649.98,0.47,0.0,2.0,,,,,2025-09-30,1,3,0,0,0,0,0,26,2025-09-30,none,18,high,2025-09-30,1,train
CUST00004,2025-04-15,Tier 3,25-34,Google Search,,Fragrance,Normal,No,1,1604.04,1604.04,0.16,0.0,2.0,,,,,2025-09-30,1,6,0,0,0,0,0,14,2025-09-30,free_shipping,40,high,2025-09-30,1,train
CUST00005,2024-08-21,Tier 3,35-44,Organic,Gold,Hair Care,Combination,Yes,4,2550.91,637.7275,0.4425,0.0,2.0,1.0,37.7,-1.0,0.0,2025-09-30,18,95,4,1,1,3,1,9,2025-09-30,welcome_offer,18,medium,2025-09-30,0,train
CUST00006,2024-09-30,Tier 2,35-44,Instagram,Silver,Baby Care,Dry,Yes,5,3770.16,754.0319999999999,0.358,0.2,4.75,2.0,17.6,-0.68,0.5,2025-09-30,2,8,1,0,1,0,0,1,2025-09-30,none,12,medium,2025-09-30,0,validation
CUST00007,2025-07-24,Tier 1,18-24,Organic,,Fragrance,Sensitive,Yes,1,719.33,719.33,0.18,0.0,5.0,,,,,2025-09-30,11,61,3,2,2,10,3,12,2025-09-30,free_shipping,0,low,2025-09-30,0,train
CUST00008,2024-11-18,Tier 2,18-24,Organic,Silver,Skin Care,Dry,Yes,4,2747.33,686.8325,0.2225,0.0,2.75,1.0,6.0,0.08,0.0,2025-09-30,2,11,1,0,0,0,0,16,2025-09-30,bundle_discount,25,medium,2025-09-30,0,validation
CUST00009,2025-08-20,Tier 1,25-34,Influencer,,Skin Care,Oily,No,1,376.85,376.85,0.49,0.0,4.0,,,,,2025-09-30,11,57,3,3,2,0,0,6,2025-09-30,none,40,low,2025-09-30,0,train
CUST00010,2025-09-02,Tier 1,18-24,Influencer,,Wellness,Oily,Yes,1,636.8,636.8,0.45,0.0,4.0,,,,,2025-09-30,13,71,3,3,2,6,0,5,2025-09-30,none,40,low,2025-09-30,0,train
CUST00011,2024-12-14,Tier 2,18-24,Referral,Gold,Fragrance,Sensitive,No,2,925.0699999999999,462.53499999999997,0.15500000000000003,0.0,4.0,,,,,2025-09-30,10,34,2,1,0,0,0,0,2025-09-30,new_launch,18,low,2025-09-30,0,train
CUST00012,2024-11-01,Tier 2,35-44,Instagram,,Skin Care,Normal,No,2,2051.63,1025.815,0.29500000000000004,0.0,4.0,1.0,18.7,-0.12,0.0,2025-09-30,3,16,1,1,0,0,0,5,2025-09-30,none,12,medium,2025-09-30,1,train
CUST00013,2025-01-06,Tier 3,35-44,Google Search,,Fragrance,Oily,Yes,3,1754.44,584.8133333333334,0.23,0.0,5.0,1.0,74.6,-1.0,0.0,2025-09-30,4,22,1,0,0,2,0,21,2025-09-30,free_shipping,25,medium,2025-09-30,0,train
CUST00014,2024-05-08,Tier 2,18-24,Referral,,Fragrance,Combination,No,11,8130.16,739.1054545454546,0.2618181818181818,0.0,4.0,2.0,8.25,-0.245,0.0,2025-09-30,11,57,3,2,2,0,0,17,2025-09-30,bundle_discount,12,medium,2025-09-30,0,train
CUST00015,2024-11-15,Tier 2,25-34,Google Search,Gold,Hair Care,Dry,Yes,4,4200.93,1050.2325,0.3025,0.0,4.25,,,,,2025-09-30,6,23,2,0,1,0,0,11,2025-09-30,none,12,low,2025-09-30,0,train
CUST00016,2024-08-13,Tier 2,18-24,Instagram,,Skin Care,Sensitive,Yes,1,478.02,478.02,0.22,0.0,1.0,1.0,6.4,0.37,0.0,2025-09-30,2,8,1,0,0,4,1,32,2025-09-30,welcome_offer,0,high,2025-09-30,1,test
CUST00017,2024-05-15,Tier 3,35-44,Referral,,Hair Care,Combination,Yes,3,1699.1399999999999,566.38,0.26666666666666666,0.0,5.0,,,,,2025-09-30,4,23,1,1,0,9,4,47,2025-09-30,bundle_discount,0,high,2025-09-30,1,train
CUST00018,2025-04-23,Tier 1,35-44,Marketplace,Silver,Skin Care,,Yes,1,329.21,329.21,0.36,0.0,4.0,,,,,2025-09-30,3,8,1,0,0,4,2,37,2025-09-30,new_launch,18,high,2025-09-30,1,test
CUST00019,2025-04-04,Tier 1,18-24,Referral,Gold,Skin Care,Normal,Yes,2,1598.93,799.465,0.105,0.0,4.0,,,,,2025-09-30,5,27,2,0,1,3,1,0,2025-09-30,free_shipping,40,low,2025-09-30,0,train
CUST00020,2024-04-05,Tier 3,45+,Instagram,,Skin Care,Combination,No,3,4487.950000000001,1495.9833333333336,0.13,0.0,4.333333333333333,1.0,28.9,-0.95,0.0,2025-09-30,0,0,0,0,0,0,0,60,2025-09-30,welcome_offer,12,high,2025-09-30,1,train
CUST00021,2025-04-10,Tier 2,25-34,Marketplace,Silver,Makeup,Combination,Yes,2,1059.3,529.65,0.435,0.0,4.0,1.0,20.1,-0.85,0.0,2025-09-30,3,14,1,1,0,2,0,18,2025-09-30,new_launch,0,high,2025-09-30,1,train
CUST00022,2025-07-09,Tier 1,18-24,Instagram,,Wellness,Normal,Yes,1,454.06,454.06,0.31,0.0,5.0,,,,,2025-09-30,10,33,5,1,2,4,1,0,2025-09-30,welcome_offer,18,low,2025-09-30,0,train
CUST00023,2025-09-01,Tier 3,18-24,Google Search,Gold,Baby Care,Normal,Yes,1,400.98,400.98,0.25,0.0,3.0,,,,,2025-09-30,3,15,1,1,1,4,1,7,2025-09-30,welcome_offer,12,low,2025-09-30,0,train
CUST00024,2025-06-19,Tier 1,25-34,Marketplace,,Skin Care,Dry,Yes,1,481.35,481.35,0.34,0.0,5.0,,,,,2025-09-30,13,71,3,2,2,3,0,0,2025-09-30,new_launch,12,low,2025-09-30,0,test
CUST00025,2024-03-15,Tier 2,18-24,Referral,,Baby Care,Normal,Yes,7,4868.86,695.5514285714286,0.31142857142857144,0.0,4.285714285714286,3.0,18.0,-0.22666666666666668,0.3333333333333333,2025-09-30,11,54,2,3,1,6,1,29,2025-09-30,new_launch,12,high,2025-09-30,1,test
CUST00026,2025-01-13,Tier 2,25-34,Referral,,Wellness,,Yes,3,3561.3900000000003,1187.13,0.16333333333333333,0.3333333333333333,3.0,1.0,20.0,-0.63,0.0,2025-09-30,14,55,3,3,0,1,0,26,2025-09-30,none,25,medium,2025-09-30,0,train
CUST00027,2024-04-16,Tier 1,45+,Instagram,,Baby Care,Sensitive,Yes,1,2128.34,2128.34,0.3,1.0,1.0,1.0,8.0,-0.13,0.0,2025-09-30,11,44,3,2,1,5,2,18,2025-09-30,free_shipping,18,medium,2025-09-30,0,validation
CUST00028,2024-09-27,Tier 1,25-34,Influencer,,Baby Care,Sensitive,Yes,2,1489.7800000000002,744.8900000000001,0.19,0.0,2.5,1.0,1.0,0.39,0.0,2025-09-30,1,4,1,0,0,3,0,19,2025-09-30,free_shipping,40,high,2025-09-30,0,train
CUST00029,2024-06-14,Tier 2,35-44,Referral,,Skin Care,,No,8,5252.9,656.6125,0.23374999999999999,0.0,4.0,,,,,2025-09-30,1,6,0,0,0,0,0,0,2025-09-30,free_shipping,40,low,2025-09-30,0,train
CUST00030,2024-05-31,Tier 1,25-34,Google Search,Gold,Wellness,Oily,No,6,3435.5899999999997,572.5983333333332,0.34,0.0,4.333333333333333,2.0,27.65,-0.41500000000000004,0.0,2025-09-30,11,31,2,3,1,0,0,3,2025-09-30,free_shipping,40,medium,2025-09-30,0,test
CUST00031,2025-07-27,Tier 1,35-44,Marketplace,,Wellness,Dry,No,1,672.95,672.95,0.24,0.0,4.0,,,,,2025-09-30,6,35,3,0,1,0,0,9,2025-09-30,new_launch,0,medium,2025-09-30,1,train
CUST00032,2024-12-06,Tier 1,35-44,Marketplace,Silver,Skin Care,Dry,No,3,1948.75,649.5833333333334,0.3666666666666667,0.0,4.333333333333333,,,,,2025-09-30,12,70,4,2,1,0,0,13,2025-09-30,bundle_discount,40,low,2025-09-30,0,test
CUST00033,2024-08-15,Tier 3,18-24,Google Search,Gold,Fragrance,Dry,Yes,4,2128.09,532.0225,0.405,0.5,3.3333333333333335,2.0,36.349999999999994,-0.94,0.0,2025-09-30,7,41,2,2,1,3,0,7,2025-09-30,welcome_offer,12,medium,2025-09-30,0,validation
CUST00034,2024-10-12,Tier 2,25-34,Marketplace,Gold,Hair Care,Oily,Yes,6,3353.01,558.835,0.26166666666666666,0.0,4.333333333333333,3.0,17.099999999999998,-0.22999999999999998,0.3333333333333333,2025-09-30,7,30,4,1,2,8,2,0,2025-09-30,welcome_offer,40,medium,2025-09-30,0,train
CUST00035,2024-09-28,Tier 2,18-24,Google Search,Silver,Hair Care,Normal,Yes,3,1369.71,456.57,0.24333333333333332,0.0,4.333333333333333,,,,,2025-09-30,6,25,2,1,1,8,0,25,2025-09-30,new_launch,18,high,2025-09-30,1,train
CUST00036,2025-03-22,Tier 3,18-24,Referral,Silver,Makeup,,Yes,4,1737.33,434.3325,0.365,0.25,2.75,1.0,27.9,-0.17,0.0,2025-09-30,0,0,0,0,0,0,0,14,2025-09-30,bundle_discount,18,medium,2025-09-30,1,train
CUST00037,2024-11-17,Tier 1,35-44,Influencer,,Makeup,Sensitive,Yes,1,435.83,435.83,0.43,0.0,3.0,,,,,2025-09-30,5,28,2,0,0,3,0,28,2025-09-30,welcome_offer,12,high,2025-09-30,0,train
CUST00038,2025-01-23,Tier 3,35-44,Marketplace,,Baby Care,Oily,Yes,4,2104.61,526.1525,0.355,0.0,4.0,1.0,21.9,0.13,1.0,2025-09-30,5,23,1,0,0,5,0,14,2025-09-30,bundle_discount,25,medium,2025-09-30,0,train
CUST00039,2024-11-25,Tier 2,25-34,Instagram,,Wellness,,Yes,3,1598.49,532.83,0.2966666666666667,0.0,3.3333333333333335,,,,,2025-09-30,6,20,1,1,0,3,1,4,2025-09-30,welcome_offer,12,low,2025-09-30,0,train
CUST00040,2024-12-09,Tier 3,18-24,Instagram,,Fragrance,Dry,Yes,1,634.73,634.73,0.38,0.0,5.0,1.0,33.9,0.0,0.0,2025-09-30,1,4,0,0,0,1,0,42,2025-09-30,none,18,high,2025-09-30,1,train
CUST00041,2024-03-15,Tier 3,25-34,Referral,Silver,Hair Care,Combination,Yes,4,1911.8600000000001,477.96500000000003,0.3475,0.0,4.5,1.0,53.0,-1.0,0.0,2025-09-30,5,19,1,1,0,4,2,22,2025-09-30,free_shipping,18,medium,2025-09-30,1,train
CUST00042,2024-04-19,Tier 1,35-44,Organic,Silver,Hair Care,Normal,Yes,9,7523.74,835.9711111111111,0.21888888888888888,0.2222222222222222,3.5555555555555554,6.0,12.0,-0.455,0.3333333333333333,2025-09-30,3,13,1,0,0,7,2,14,2025-09-30,none,12,high,2025-09-30,0,train
CUST00043,2025-06-27,Tier 2,45+,Influencer,Gold,Baby Care,,No,1,363.01,363.01,0.43,0.0,5.0,,,,,2025-09-30,3,16,0,0,0,0,0,0,2025-09-30,welcome_offer,18,low,2025-09-30,0,test
